ALE , 82.5033 , -62.35 , 124.70612735565523 , 0.99 , 33.53566013584085 , 15.693103459964973 , 5.083201145981746 , -0.49 , ^ , 0
ARTI , 56.3879 , 58.3849 , 329.4830272822832 , 0.66 , 4.595693044168746 , 3.728938547209107 , 22.294407210403566 , 0.78 , ^ , 0
BFO , 48.3301 , 8.3296 , 338.7568370028514 , 0.96 , 10.921608819092867 , 9.079126900138252 , 4.313944169272921 , -0.32 , H , 0
BJT , 40.0183 , 116.1679 , 348.5626523955282 , 0.94 , 3.597816383443606 , 9.925845216445628 , 11.064121194035463 , 0.05 , ^ , 0
BORG , 64.7474 , -21.3268 , 347.0635382323714 , 0.78 , 29.72724520283661 , 16.021912267140767 , 6.641646713947377 , -0.38 , o , 0
COLA , 64.873599 , -147.8616 , 25.482737286676862 , 0.88 , 13.215850234045046 , 13.095613929928161 , 8.29330180534159 , -0.2 , o , 0
COR , 44.5855 , -123.3046 , 23.122705437994775 , 0.95 , 8.749110425773717 , 7.903479802388954 , 7.619107902645226 , -0.02 , o , 0
DIVS , 44.0981 , 19.9917 , 337.81424766360703 , 0.81 , 8.830624533123673 , 9.902923243462421 , 12.037771333466177 , 0.08 , ^ , 0
HIA , 49.2704 , 119.7414 , 348.621520827314 , 0.96 , 8.443347430925312 , 6.963542201049991 , 13.225703824145373 , 0.28 , ^ , 0
HRV , 42.5064 , -71.5583 , 20.668430571672413 , 0.5 , 3.59895087422488 , 3.1227424832213813 , 19.04749881885162 , 0.79 , o , 0
IVI , 61.205808 , -48.171178 , 26.712713250209333 , 0.76 , 6.4603665790798015 , 12.436354008446026 , 23.497177093197955 , 0.28 , ^ , 0
KBS , 78.9154 , 11.9385 , 256.643533208326 , 0.99 , 23.406054507040423 , 15.578446958109527 , 20.457361337022732 , 0.12 , ^ , 0
KDAK , 57.7828 , -152.5835 , 20.540866885493436 , 0.96 , 11.147737483541661 , 7.7345558745404 , 11.881900997669087 , 0.19 , o , 0
KEV , 69.7565 , 27.0035 , 304.09971154997044 , -0.13 , 3.239606669265835 , 6.058580341636935 , 38.015850195773325 , 0.8 , ^ , 0
KIEV , 50.7012 , 29.2242 , 332.16295184126494 , 0.91 , 6.5560090397618405 , 6.104674593450701 , 19.46954109015913 , 0.5 , ^ , 0
KONO , 59.6521 , 9.5946 , 326.6236428778928 , 0.96 , 13.786022100534593 , 12.896549048728476 , 29.131591757918226 , 0.35 , H , 0
ILON , 69.3712 , -81.8243 , 54.81692450119808 , 0.98 , 16.125012203974745 , 15.784329437516767 , 16.043194084846032 , XXX , d , 0
LVZ , 67.8979 , 34.6514 , 310.63806082561257 , 0.36 , 4.787242873876495 , 8.304468868248774 , 45.46402133383387 , 0.74 , ^ , 0
PAB , 39.5446 , -4.3499 , 348.1251059545585 , 0.96 , 15.08410819120709 , 13.441816301642207 , 6.514655786875211 , -0.31 , H , 0
PET , 53.0233 , 158.6499 , 2.197906910556611 , 0.93 , 10.235607937333876 , 15.036643690677309 , 6.421319030749211 , -0.37 , ^ , 0
RES , 74.6892 , -94.8962 , 63.05567835877143 , 0.87 , 21.67291138875097 , 14.181813036731246 , 14.114557244496895 , XXX , d , 0
RSSD , 44.1212 , -104.0359 , 24.727003101641035 , 0.93 , 6.608581077455317 , 6.420588472176452 , 24.534349512048713 , 0.58 , o , 0
SCO , 70.485603 , -21.949699 , 322.3624621116705 , -0.34 , 62.175525374999005 , 13.559933145745074 , 21.303456519064017 , 0.2 , d , 0
SFJD , 66.9961 , -50.62076 , 45.14552367939004 , 0.36 , 5.975700104870949 , 3.535524604339019 , 26.37587553722894 , 0.87 , ^ , 0
SSPA , 40.6358 , -77.8876 , 21.23033396580235 , -0.23 , 2.319619278920764 , 3.6529207050077277 , 23.590445590171196 , 0.81 , o , 0
TLY , 51.6807 , 103.6438 , 343.0536798867712 , 0.81 , 10.100636863548848 , 9.918824329357632 , 4.853459651562063 , -0.31 , ^ , 0
ULN , 47.8651 , 107.0532 , 344.86660469716327 , 0.87 , 7.021166173175205 , 7.34487919586108 , 17.48311333585107 , 0.38 , ^ , 0
WMQ , 43.8138 , 87.7049 , 340.6323735354604 , 0.88 , 4.982230778264247 , 4.599576666731973 , 24.546250683504876 , 0.73 , ^ , 0
WUS , 41.200716 , 79.216498 , 339.5411986297529 , 0.6 , 5.8260247283381545 , 6.237431806525038 , 31.27819826842385 , 0.7 , ^ , 0
