,Time,Modelled Vertical Force,Modelled North Force,Modelled East Force,Inversed Vertical Force,Inversed North Force,Inversed East Force
0,2.0,3234282521.15,5740279898.242991,313918272.0957284,-2307953352.776689,-8951083118.837467,-3736072319.7939854
1,3.0055865922000002,3047383439.5,5729875319.967167,353664530.16739655,,,
2,4.0111731844000005,2792829949.83,5634068608.204583,393259835.3220763,,,
3,5.016759776499999,2464363174.28,5441387442.987887,432881928.9446924,,,
4,6.022346368699999,2054063083.63,5139241856.701555,473236325.8057556,,,
5,7.027932960899999,1551761163.78,4714023298.499709,515468901.64723086,,,
6,8.0335195531,945058529.119,4151688628.4388704,560775069.9585416,,,
7,9.0391061453,220506026.153,3439039874.6905293,609622539.9495032,,,
8,10.044692737399998,-633539960.197,2565786818.6936803,660607272.7489473,,,
9,11.050279329599999,-1622180717.84,1527212331.6159034,709142963.8720567,,,
10,12.055865921799999,-2737813239.84,326847736.3417454,746428565.8280072,,,
11,13.061452513999999,-3954015920.99,-1021931715.5661068,759390738.0964835,,,
12,14.067039106100001,-5222175028.8,-2496912646.405253,732452981.2946832,,,
13,15.072625698300001,-6474596004.85,-4072289874.046163,651889021.8423154,,,
14,16.078212290499998,-7638113272.94,-5729279077.791187,513006193.7592106,,,
15,17.083798882700002,-8660919680.91,-7471772466.697399,329350361.01463795,,,
16,18.0893854749,-9551737961.07,-9344184797.756826,141539119.84446716,,,
17,19.094972067,-10424207599.2,-11445243150.964294,21473127.401394844,,,
18,20.1005586592,-11531008880.0,-13927998883.480965,66144937.201125145,,,
19,21.1061452514,-13263740563.9,-16974266492.30556,375019626.5522146,,,
20,22.11173184358,-16089574137.8,-20733132208.8708,1007198019.9087696,,,
21,23.11731843575,-20399423765.2,-25220453041.21907,1920391827.1306689,,,
22,24.12290502793,-26260503542.4,-30191075364.244827,2903573005.0673714,,,
23,25.12849162011,-33102791505.5,-35017600993.47403,3528013897.206116,,,
24,26.13407821229,-39423386066.7,-38635221793.09406,3154128999.8694057,,,
25,27.13966480447,-42655787893.7,-39633005790.09995,1038263741.9241714,,,
26,28.14525139665,-39401891342.0,-36574654451.89649,-3423694139.436445,,,
27,29.15083798883,-26229880596.8,-28599575031.931232,-10308876992.862654,,,
28,30.15642458101,-1160543638.67,-16273044952.441566,-18687426107.82896,,,
29,31.162011173184,34239053883.3,-2516720819.024702,-26185806129.23332,,,
30,32.167597765363,73277834068.2,7624719586.191887,-29345681385.95709,,,
31,33.17318435754,105655087669.0,9928551923.32266,-25564286985.92548,,,
32,34.17877094972,122426934006.0,4257592698.725695,-14964590366.395454,,,
33,35.1843575419,119925363409.0,-5710086844.524363,-24008362.087018967,,,
34,36.18994413408,99199297533.9,-14878008022.293428,15832798417.148582,,,
35,37.19553072626,63505687530.5,-18486985318.74169,29140355286.234,,,
36,38.20111731844,17545659171.1,-13608103798.189363,37379154926.91874,,,
37,39.20670391061,-31752833328.9,-275165968.1559639,39736929814.069725,,,
38,40.21229050279,-75403996528.5,18827523103.277733,36647375368.29421,,,
39,41.21787709497,-104711235297.0,39640331137.03066,28872666337.81865,,,
40,42.2234636872,-114575583500.0,57893302069.91272,17383561101.74312,,,
41,43.2290502793,-105394066041.0,70049961340.77898,3848207668.4072304,,,
42,44.2346368715,-82371771709.3,74109403168.08572,-9160496842.628738,,,
43,45.2402234637,-53152839760.0,69985830003.62276,-18738844411.368,,,
44,46.2458100559,-25257359371.2,59363004820.4957,-22854311036.709637,,,
45,47.251396648,-4085060311.06,45099419989.7081,-21333829309.794758,,,
46,48.2569832402,8231525494.25,30369218036.317886,-15907098811.646606,,,
47,49.262569832400004,12831154780.7,17834117089.09066,-9360676807.472923,,,
48,50.2681564246,12881386146.3,9014700287.477217,-4279419260.692047,,,
49,51.2737430168,11765455531.3,4097453667.780609,-2102814510.408512,,,
50,52.2793296089,11833945740.0,2294729712.1430407,-2982804067.7586794,,,
51,53.2849162011,14057098205.4,2398681582.1113944,-6080552855.150167,,,
52,54.2905027933,18130536694.1,3217987865.33273,-9963947716.594036,,,
53,55.2960893855,22899300778.7,3790381829.803125,-13160467616.558104,,,
54,56.3016759777,27096375731.0,3317487165.658618,-14587027836.309544,,,
55,57.3072625698,29936814164.3,1110749704.8834724,-13681486355.269775,,,
56,58.312849162,31234047285.4,-3157266178.674674,-10478972433.35838,,,
57,59.318435754199996,31194621144.7,-9152804591.533775,-5574979805.34719,,,
58,60.3240223464,30138088045.3,-15946853695.14998,139440246.0498743,,,
59,61.3296089385,28250964399.9,-22408648490.052483,5729204272.409591,,,
60,62.3351955307,25443379527.3,-27571162042.08645,10377208104.365969,,,
61,63.340782122899995,21466107132.9,-30838042344.20869,13569338640.83621,,,
62,64.3463687151,16241937613.0,-32069133859.48648,15192577253.044842,,,
63,65.3519553073,10060240796.2,-31452515747.885807,15382985756.232208,,,
64,66.35754189939999,3540919842.39,-29362075018.23706,14353822536.74746,,,
65,67.36312849160001,-2483365710.36,-26441896812.32435,12474913849.839071,,,
66,68.3687150838,-7217130858.1,-23495765046.747868,10302080735.851795,,,
67,69.374301676,-10203270959.2,-21087764883.54334,8367899883.423367,,,
68,70.3798882682,-11399202069.2,-19374884779.402767,7016117800.545612,,,
69,71.38547486030001,-11122209357.8,-18033042605.00632,6267862626.121027,,,
70,72.3910614525,-10044616296.6,-16087074537.386196,5694104312.123325,,,
71,73.3966480447,-9071448603.7,-12181399348.930037,4613352495.272776,,,
72,74.4022346369,-9002718922.21,-5377845336.929572,2556327830.322775,,,
